CustomerID,Lookalikes
C0001,"[('C0112', 0.9804), ('C0190', 0.9687), ('C0048', 0.9661)]"
C0002,"[('C0106', 0.9768), ('C0134', 0.976), ('C0145', 0.9597)]"
C0003,"[('C0195', 0.9892), ('C0031', 0.9849), ('C0039', 0.9725)]"
C0004,"[('C0113', 0.9877), ('C0012', 0.9772), ('C0104', 0.9724)]"
C0005,"[('C0007', 0.9946), ('C0146', 0.9738), ('C0140', 0.9612)]"
C0006,"[('C0187', 0.9887), ('C0082', 0.9656), ('C0011', 0.956)]"
C0007,"[('C0005', 0.9946), ('C0140', 0.9808), ('C0146', 0.9681)]"
C0008,"[('C0189', 0.9729), ('C0098', 0.9715), ('C0194', 0.971)]"
C0009,"[('C0198', 0.9763), ('C0061', 0.9292), ('C0074', 0.9057)]"
C0010,"[('C0111', 0.9287), ('C0141', 0.9002), ('C0062', 0.8953)]"
C0011,"[('C0126', 0.9944), ('C0153', 0.9762), ('C0191', 0.9732)]"
C0012,"[('C0104', 0.9893), ('C0152', 0.9826), ('C0004', 0.9772)]"
C0013,"[('C0107', 0.9901), ('C0188', 0.9807), ('C0102', 0.9797)]"
C0014,"[('C0089', 0.946), ('C0110', 0.9041), ('C0080', 0.8933)]"
C0015,"[('C0131', 0.9383), ('C0185', 0.935), ('C0123', 0.9197)]"
C0016,"[('C0183', 0.9883), ('C0067', 0.9647), ('C0117', 0.9614)]"
C0017,"[('C0075', 0.9936), ('C0081', 0.9879), ('C0041', 0.985)]"
C0018,"[('C0122', 0.9723), ('C0035', 0.9715), ('C0068', 0.9572)]"
C0019,"[('C0121', 0.9651), ('C0070', 0.9608), ('C0064', 0.955)]"
C0020,"[('C0130', 0.971), ('C0078', 0.9113), ('C0058', 0.9089)]"
